"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000161714","PLCD3","protein_coding",-1.64605902264276,6.57679700469217,-11.1204466292156,2.00858834407318e-25,1.73999394715679e-24,46.5191301267652
"ENSG00000091138","SLC26A3","protein_coding",-6.44600201765383,5.84483620487578,-11.118919910355,2.03546405005925e-25,1.76224580315293e-24,46.6155830306818
"ENSG00000186417","GLDN","protein_coding",-2.09738935639544,0.345844651095968,-11.1186073304022,2.04101052038068e-25,1.76601622493184e-24,46.8170358131481
"ENSG00000161281","COX7A1","protein_coding",-1.45974003229321,1.75186156614866,-11.1177364643737,2.05654270476177e-25,1.77841750116563e-24,46.7147545969639
"ENSG00000000971","CFH","protein_coding",-1.778863674593,4.09776111683293,-11.1124109105551,2.15411590881223e-25,1.86062389279807e-24,46.4437511364357
"ENSG00000158517","NCF1","protein_coding",-1.95786601920304,0.624890524679301,-11.1033400212818,2.33102178637963e-25,2.00948284182508e-24,46.6751951142937
"ENSG00000131747","TOP2A","protein_coding",1.36600367227405,7.15449035518113,11.1032977745126,2.33187861822908e-25,2.00948284182508e-24,46.3444706254164
"ENSG00000166012","TAF1D","protein_coding",1.20791185177824,6.03275838889285,11.1028438113274,2.34110550325875e-25,2.0162618111157e-24,46.3639675253085
"ENSG00000197892","KIF13B","protein_coding",-1.35093864696692,6.28939270935785,-11.0975011461603,2.45246270959648e-25,2.10971574472658e-24,46.3084862883258
"ENSG00000152253","SPC25","protein_coding",1.26198636069708,3.39693701224136,11.0863935387524,2.7011182785013e-25,2.31958140926688e-24,46.50862679742
"ENSG00000170989","S1PR1","protein_coding",-1.33963652347694,3.2143480965466,-11.0862589946693,2.70427894914505e-25,2.3209509313392e-24,46.2826258300765
"ENSG00000110077","MS4A6A","protein_coding",-1.82980298086568,3.90259199225369,-11.0858487174062,2.71393978791862e-25,2.32789441762325e-24,46.2209787194193
"ENSG00000134222","PSRC1","protein_coding",1.2899123551736,3.61964007193015,11.0837751941791,2.76329276587123e-25,2.36748701593892e-24,46.4682858948092
