"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000224739","AC016735.1","long_non_coding",1.78035920055139,-0.240687490362868,2.87419269038963,0.00528694906692908,0.0179575517880138,-2.37443143657625
"ENSG00000259342","AC025580.1","long_non_coding",-1.60145514657854,0.950046692730819,-2.86770203603217,0.00538534480585912,0.0182294380395947,-2.73207814331225
"ENSG00000226380","AC016831.1","long_non_coding",1.35310970502669,0.282227677171825,2.84401703509341,0.00575888309174419,0.0192826925669403,-2.48020347978056
"ENSG00000244649","LINC02086","long_non_coding",1.63874803095788,4.62365118697457,2.80121788955052,0.00649490247150834,0.0213010135525134,-3.04849655722415
"ENSG00000254290","AC124067.4","long_non_coding",1.25574314533818,3.81640105890654,2.78309567501508,0.00683181432540884,0.0222121798625787,-3.0270090379849
"ENSG00000226419","SLC16A1-AS1","long_non_coding",1.44958028096107,0.794114005330618,2.77754594911329,0.00693815048263755,0.0225263153741843,-2.67781084421743
"ENSG00000230082","PRRT3-AS1","long_non_coding",1.33767013358013,0.270821298115446,2.77316151842125,0.00702322911165041,0.0227494396166617,-2.65188459436405
"ENSG00000262370","AC108134.3","long_non_coding",2.29006446869142,0.288512824227417,2.77061114112095,0.0070731571410074,0.0228726457019321,-2.63181941283083
"ENSG00000235823","OLMALINC","long_non_coding",1.03869376484398,2.46035478828055,2.76596628316297,0.00716492442873429,0.0231276244788269,-2.91269827698492
"ENSG00000274925","ZKSCAN2-DT","long_non_coding",1.14042419385755,0.430772453059459,2.70620714038098,0.008446846928002,0.0265002530815273,-2.84510472205759
"ENSG00000272752","STAG3L5P-PVRIG2P-PILRB","long_non_coding",1.28566948419518,0.265939064702676,2.69963182816347,0.00859999343613647,0.0268718706450762,-2.8408506856919
"ENSG00000232445","EMSLR","long_non_coding",2.58223350456671,0.954302075837328,2.69214899085717,0.00877735538601792,0.0272996950053943,-2.83149721210039
"ENSG00000274922","AL139384.1","long_non_coding",1.55659872580686,0.069444905744185,2.682814669024,0.00900327438835724,0.0278714764005477,-2.84877395781425
"ENSG00000214049","UCA1","long_non_coding",4.30631675981398,2.89297105724633,2.64874390289864,0.00987356472534161,0.0300506371476535,-2.95353505467892
"ENSG00000234155","LINC02535","long_non_coding",-1.34059288112277,2.00896827631081,-2.63733939849535,0.0101815379878083,0.0307591250808917,-3.43342928193
"ENSG00000229891","LINC01315","long_non_coding",1.35186054304239,1.67832442482312,2.6290155898568,0.0104117994610877,0.0313458265593655,-3.12075890258073
"ENSG00000235280","MCF2L-AS1","long_non_coding",1.08269523023716,1.33261743451387,2.62848542895447,0.0104266242334542,0.031370993914105,-3.10797744467366
"ENSG00000233016","SNHG7","long_non_coding",1.02088550665556,4.50010706119054,2.62324804471695,0.0105741090601951,0.0317451506406764,-3.52809818419089
"ENSG00000180861","LINC01559","long_non_coding",-1.32630099087333,4.01145459295954,-2.61068826900032,0.0109355363702116,0.0326050107981292,-3.6373895239005
"ENSG00000272141","AL390719.2","long_non_coding",1.6246315161844,2.59714657796692,2.60831436605588,0.0110050948607301,0.0327772728946242,-3.24438802269929
"ENSG00000215769","ARHGAP27P1-BPTFP1-KPNA2P3","long_non_coding",1.0373970539645,0.84182861368592,2.56744722265506,0.0122671321764638,0.0357851387253428,-3.21910767779185
"ENSG00000267519","AC020916.1","long_non_coding",1.17900059095432,3.52672575848985,2.56646596259485,0.0122989822978919,0.0358404661180345,-3.51894331505224
"ENSG00000253716","MINCR","long_non_coding",1.29489120667524,1.72204980744163,2.53129233531513,0.0134911867958235,0.0387304266549246,-3.35941106820385
"ENSG00000227258","SMIM2-AS1","long_non_coding",-1.2967626493231,1.1165911739669,-2.52419327427419,0.0137440882978709,0.0392539063932414,-3.57094017980805
"ENSG00000250899","AC125807.2","long_non_coding",1.05830364113904,1.28351576213564,2.51034632999434,0.0142497068636033,0.0405066774506147,-3.38536948847871
"ENSG00000198221","AFDN-DT","long_non_coding",1.11110575600196,0.144707305869426,2.47449874230127,0.0156373307099766,0.0437361015172057,-3.35795360456444
"ENSG00000203709","MIR29B2CHG","long_non_coding",-1.04383715590959,0.103741143519442,-2.44783287508668,0.0167469701000342,0.0462904624645025,-3.5867842778046
